repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
BenchBox-dev/BenchBox,12,2026-09-02T02:58:41Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini|tests/conftest.py|tests/test_*.py,8,1306;1305;1304;1303;1302,claude-coauthor,a536dfad7a32278094d4f0239b6823ac5aa00120,">=3.10,<3.15",uv.lock
paulomtts/pyjinhx,10,2026-08-29T22:17:19Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,8,1064;1063;1062;1061;1059,claude-coauthor;claude-code-gen;robot-gen,df35c253034ec0bbcedd0d75e405acc1790242e3,>=3.13,uv.lock
headroomlabs-ai/headroom,68115,2026-08-30T10:07:52Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,7,3286;3271;3270;3261;3213,claude-code-gen;robot-gen,4f2e70a75cd2870c23b1905dcb8c7f8d13aea6b0,>=3.10,uv.lock
usestrix/strix,59516,2026-08-28T20:46:50Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,7,1025;1024;1023;1022;1021,claude-code-gen;robot-gen,c29eb73c7f711fa7ef19aff0ecb23d9bdfed1f6d,>=3.12,uv.lock
tconbeer/harlequin,6364,2026-09-02T02:44:29Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,7,1110;1109;1092;1091;1090,claude-code-gen;robot-gen,ce6c96eaf920e7815c2b1e25f216a937340bcd58,>=3.10,uv.lock
roboflow/inference,2431,2026-09-01T23:17:48Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini|tests/conftest.py,7,2875;2873;2865;2828;2820,claude-code-gen;robot-gen,82836c454bb592f65e7ba1466e7f5604f3ca5bec,,uv.lock
Datus-ai/Datus-agent,1653,2026-08-29T04:08:43Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|pytest.ini|tests/conftest.py,7,1370;1369;1361;1358;1354,claude-code-gen;robot-gen,ea0f4970b256b53e8dfb3e2dc2afbeb010c61a82,>=3.12,uv.lock
SamMorrowDrums/remarkable-mcp,217,2026-08-17T09:38:56Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options],7,117;116;113;111;110,copilot,cf43881fa34ec3b69ae9da97b0471de10c0bd984,>=3.10,uv.lock
commit-check/commit-check,71,2026-08-26T22:08:11Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],7,540;537;534;532;506,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,61bd9941668c15bdb42785382ed91b82da533484,>=3.10,uv.lock
hhopke/intervals-icu-mcp,61,2026-08-31T20:37:38Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,7,111;109;108;106;105,claude-code-gen;robot-gen,baad26a192e5920a5508363fedad9cfd37c8d2d0,>=3.11,uv.lock
ric03uec/clawrium,51,2026-08-18T11:20:13Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,7,950;948;947;940;939,claude-coauthor;claude-code-gen;robot-gen,ccc72c03de4e7d77a69b8f1d546cba274e0e6711,>=3.11,uv.lock
TheodoreGalanos/aec-bench,37,2026-09-01T01:28:59Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,7,161;159;158;157;156,copilot,fe4db9c6bb07e5d8aa98dd27a67f1807f43c2bee,>=3.13,uv.lock
drussell23/JARVIS,27,2026-09-02T02:38:48Z,pinned:requirements.txt,conftest.py|pytest.ini|tests/conftest.py|tests/test_*.py,7,70570;70569;70568;70567;70565,claude-coauthor;claude-code-gen;robot-gen,7bcb3ded5161d9c87128c083647cc0d466f86617,>=3.9,pinned-requirements
DoRmAmMu1997/My-Algo-Trading-Code,12,2026-08-30T21:33:37Z,pinned:requirements-ai.txt,pyproject:[tool.pytest.ini_options],7,134;124;122;117;100,claude-coauthor;claude-code-gen;codex;robot-gen,a4553ecc7d95d34cc39378460917949c43975e3f,,pinned-requirements
sdebruyn/fabric-dw-mcp-cli,10,2026-08-30T21:37:20Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,7,1047;1036;1010;1008;1003,claude-coauthor;claude-code-gen;robot-gen,d5d15249f4b6e4bc9a8fb78274c215b53e720073,>=3.11,uv.lock
