repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
jmschrei/tangermeme,309,2026-09-02T02:36:40Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,81;76;75;74;72,claude-code-gen;robot-gen,8d732b8c08764057b7ae5faa644d48664f36b44b,>=3.10,uv.lock
UiPath/coder_eval,119,2026-08-28T22:14:56Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,144;143;133;127;119,claude-coauthor;claude-code-gen;robot-gen,5532b87ac218f6e413479ad7e2eb8d11d89686b9,>=3.13,uv.lock
cyzus/suzent,64,2026-08-31T01:13:13Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,159;158;157;148;127,claude-code-gen;robot-gen,6b41e31d1bbda528eb37d7ebf8000510a12d4caa,>=3.12,uv.lock
Jamie-BitFlight/claude_skills,64,2026-08-31T01:13:07Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,5,3349;3345;3344;3343;3341,claude-coauthor;claude-code-gen;robot-gen,1e63363985b9f58ccc83dc5473a669fca854d154,>=3.11,uv.lock
pvliesdonk/markdown-vault-mcp,31,2026-08-30T20:26:33Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,1171;1169;1141;1132;1000,claude-coauthor;claude-code-gen;robot-gen,78e72227c429b22d88f41e23a18a4da147956037,>=3.11,uv.lock
quodeq/quodeq,23,2026-09-01T16:55:35Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,1033;1031;950;949;948,claude-code-gen;robot-gen,cfcf1d68cc081836dc93efc299731531730f2248,>=3.12,uv.lock
orq-ai/evaluatorq,21,2026-09-01T21:31:38Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,185;178;175;173;172,claude-code-gen;robot-gen,803a6b8ab9c1268049446697f99a27f132739f0c,>=3.10,uv.lock
meridianlabs-ai/inspect_flow,21,2026-08-31T21:10:20Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,808;804;787;785;784,claude-coauthor;claude-code-gen;robot-gen,3169439eb3e2b81a49159d757a481b59f7d61ce3,>=3.10,uv.lock
Consiliency/pmcp,20,2026-08-31T00:18:10Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,214;208;205;204;82,claude-code-gen;robot-gen,5b7f767a38c8ce9e662eab23b3e8fd62061e78f4,>=3.10,uv.lock
timcsy/ai-api,15,2026-08-26T06:33:17Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,5,106;104;103;102;101,claude-code-gen;robot-gen,21048c4e30e6001e85b494bff106c88e0e5643a3,>=3.11,uv.lock
