repo,base_sha,python,lock_kind,install_ok,collect_ok,collected_count,run_ok,passed,failed,errored,duration_s,failure_class,notes
FalkorDB/QueryWeaver,cade79d0c0467d75232788b5c4f216248877baef,3.12,uv.lock,1,0,313,0,0,0,0,56.1,network-at-test-time,py from requires-python; pytest-timeout absent; installing it into the venv; collect rc=2: Temporary failure in name resolution
taoq-ai/ziran,ee48f24045f2ef5735a575c8277bae4f3db68b44,3.12,uv.lock,1,1,2453,1,2453,0,0,259.5,,py from requires-python; pytest-timeout absent; installing it into the venv
partcad/partcad,314290fc02586f9e2b9d4024b8aeb6618b6d9ed6,3.12,poetry.lock,1,0,2088,0,0,0,0,127.2,collection-error,py from requires-python; collect rc=2: pytest --collect-only did not succeed
Ikalus1988/MisakaNet,0c08f6b0ed2e7e7640e8d8218bd3adff5ba5661f,3.12,uv.lock,1,0,800,0,0,0,0,304.5,collection-error,py from requires-python; pytest-timeout absent; installing it into the venv; collect rc=2: pytest --collect-only did not succeed
cyzus/suzent,6b41e31d1bbda528eb37d7ebf8000510a12d4caa,3.12,uv.lock,1,1,1577,1,1577,0,0,235.1,,py from .python-version; pytest-timeout absent; installing it into the venv
Jamie-BitFlight/claude_skills,1e63363985b9f58ccc83dc5473a669fca854d154,3.13,uv.lock,0,0,0,0,0,0,0,42.1,python-version,py from .python-version; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
Consiliency/pmcp,5b7f767a38c8ce9e662eab23b3e8fd62061e78f4,3.12,uv.lock,1,1,3298,1,95,0,1,69.5,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
pvliesdonk/markdown-vault-mcp,78e72227c429b22d88f41e23a18a4da147956037,3.12,uv.lock,1,1,3564,1,681,1,0,93.3,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
PostHog/posthog,0b766bb17c1d01bc7d8dd96e42d36a8f085bdd8d,3.13,uv.lock,0,0,0,0,0,0,0,95.3,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
Kohei-Wada/taskdog,ab5b7cb7609effc43f9322e0ad5024d4898aab4c,3.13,uv.lock,1,0,0,0,0,0,0,29.3,collection-error,py from .python-version; pytest-timeout absent; installing it into the venv; collect rc=2: pytest --collect-only did not succeed
Ishannaik/agent-sweep,a5855814131ca13dfd9fc65b065bb9ed744011fb,3.12,uv.lock,1,1,418,1,418,0,0,16.8,,py from requires-python; pytest-timeout absent; installing it into the venv
UiPath/coder_eval,5532b87ac218f6e413479ad7e2eb8d11d89686b9,3.13,uv.lock,1,1,4917,0,2286,4,0,524.6,env-var/secret required,py from .python-version; pytest-timeout absent; installing it into the venv; run rc=2: API_KEY
gadievron/raptor,e6d99ae025a2ccb6a6844234bd54408a6724314b,3.12,pinned-requirements,1,1,35096,1,3785,1,0,231.3,tests-failed-at-base,py from requires-python; installing project with --no-deps (no resolution); editable --no-deps install of the project failed; pytest-timeout absent; installing it into the venv
CERTCC/Vultron,124d44938fb55a950bb6a8c1cbb7900902bcc477,3.12,uv.lock,1,1,0,0,0,0,0,117.4,other,py from requires-python; run rc=0: test run reached no verdict
mvanhorn/last30days-skill,e93c8249d8ba073e8e88c388ed1f0fc403ffd86e,3.12,uv.lock,1,1,0,0,0,0,0,74.7,other,py from requires-python; pytest-timeout absent; installing it into the venv; run rc=1: test run reached no verdict
Project-N-E-K-O/N.E.K.O,bde62d5de65e3980950734eb2111f6301e3bcc68,3.11,uv.lock,0,0,0,0,0,0,0,94.3,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
promptdriven/pdd,f971b38718e55111b7d46d431c2be665f7ec7488,3.12,pinned-requirements,0,0,0,0,0,0,0,8.9,no-lock,py from requires-python; install rc=40: requirements file is not fully pinned
xyTom/coding-tools-mcp,ead3564ad2434ef21e7e5faf6f1c19e38504d7f5,3.12,uv.lock,1,0,205,0,0,0,0,109.5,env-var/secret required,py from requires-python; pytest absent after lockfile install; installing pytest; pytest-timeout absent; installing it into the venv; collect rc=2: credentials
open-reaction-database/ord-data,01979ec78e5c1168c3b151714bd509352a8baf9b,3.11,uv.lock,1,1,30,1,30,0,0,60.7,,py from .python-version; pytest-timeout absent; installing it into the venv
harbor-framework/harbor,72f7dd0134162c5b7229f6a31286e05a49c0f8a4,3.13,uv.lock,1,1,7341,1,0,68,0,218.9,tests-failed-at-base,py from .python-version; pytest-timeout absent; installing it into the venv
Azure/gpt-rag-orchestrator,8c647dab49af2eec7e14fb09e3301cb6ab6b30aa,3.12,pinned-requirements,0,0,0,0,0,0,0,3.1,no-lock,py from requires-python; install rc=40: requirements file is not fully pinned
TeichAI/teich,1d7ba7c95c8c34b6f66862ea35b79afab05e00d9,3.12,uv.lock,1,1,598,1,571,0,0,41.2,,py from requires-python; pytest-timeout absent; installing it into the venv
FZJ-IEK3-VSA/HiSim,badb744670476cffcec75af9f96941d0cc0a1354,3.12,pinned-requirements,0,0,0,0,0,0,0,10.6,no-lock,py from default; install rc=40: requirements file is not fully pinned
djtelicloud/grok-mcp-server,765997fb36713c3c7e4880843b8d9ec723e67169,3.12,uv.lock,1,1,155,1,155,0,0,9.6,,py from requires-python; pytest-timeout absent; installing it into the venv
ifnull/ha-airspace,819a5752528ff6526bb8f7ca02834d592bcf8b94,3.12,uv.lock,1,1,772,1,772,0,0,22.1,,py from requires-python; pytest-timeout absent; installing it into the venv
Azure/agentops,a7594d0a32979d5130c751330e2ba2ec310152c6,3.12,uv.lock,1,1,947,1,492,1,0,26.7,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
FunFR/ha-indygo-pool,e79c97cea55cc2fc8fa13316054d3f3ed1182032,3.12,uv.lock,1,0,0,0,0,0,0,9.6,collection-error,py from requires-python; collect rc=1: pytest --collect-only did not succeed
druide67/asiai,0c7530ef2a24fafd05f874b63e2e5daf69c98bb1,3.12,uv.lock,1,1,1836,1,1046,1,0,44.2,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
ffroliva/gflow-cli,1dacd9b63d71d9f5076847b5f404b056023fab01,3.12,uv.lock,1,1,3095,1,1181,1,0,224.4,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
reflex-dev/reflex,6c6a3985648e1de8d8ad2637e6e7851c400a7ebf,3.14,uv.lock,0,0,0,0,0,0,0,20.6,python-version,py from .python-version; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
psd-tools/psd-tools,cd3a73997352edee693b2bc676a4b881fe936826,3.12,uv.lock,0,0,0,0,0,0,0,23.5,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
martymcenroe/AssemblyZero,3f85294970f8e5ab0b691d0674004ec4f66644b1,3.12,poetry.lock,1,0,192,0,0,0,0,21.4,env-var/secret required,py from requires-python; pytest-timeout absent; installing it into the venv; collect rc=3: credentials
Perseus-Computing-LLC/perseus,24d6707035402d1a58c6957b6bdc60a2bea1dd51,3.12,uv.lock,0,0,0,0,0,0,0,3.9,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
Human-Agent-Society/CORAL,c535d91a3118669a2ca46dfd6dc0fa447c17b03a,3.12,uv.lock,1,1,615,1,216,1,0,83.4,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
bcorfman/freytag-forge,1ef6255a7a42bbdd18ee67ff4768ef7bce2b07df,3.12,uv.lock,1,1,221,1,221,0,0,67.0,,py from .python-version; pytest-timeout absent; installing it into the venv
Agentix-Project/Agentix,2321acc5a92c614cf19f91eac478c542cc2b63b6,3.12,uv.lock,1,0,296,0,0,0,0,10.5,collection-error,py from requires-python; pytest-timeout absent; installing it into the venv; collect rc=2: pytest --collect-only did not succeed
Comfy-Org/comfy-cli,99c5a596b7ca7cd326e9b92869a6998e9a1bb99d,3.12,uv.lock,1,1,7346,1,709,1,0,163.1,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
tconbeer/harlequin,ce6c96eaf920e7815c2b1e25f216a937340bcd58,3.10,uv.lock,0,0,0,0,0,0,0,6.0,python-version,py from .python-version; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
roboflow/inference,82836c454bb592f65e7ba1466e7f5604f3ca5bec,3.12,uv.lock,1,0,38,0,0,0,0,20.6,collection-error,py from default; pytest absent after lockfile install; installing pytest; pytest-timeout absent; installing it into the venv; collect rc=2: pytest --collect-only did not succeed
SamMorrowDrums/remarkable-mcp,cf43881fa34ec3b69ae9da97b0471de10c0bd984,3.12,uv.lock,1,1,211,1,160,1,0,18.5,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
hhopke/intervals-icu-mcp,baad26a192e5920a5508363fedad9cfd37c8d2d0,3.12,uv.lock,1,1,360,1,360,0,0,15.8,,py from requires-python; pytest-timeout absent; installing it into the venv
posit-dev/rsconnect-python,97cd7900f20d5f925db3103808000ca37f877773,3.12,uv.lock,1,1,780,1,613,1,0,183.6,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
ric03uec/clawrium,ccc72c03de4e7d77a69b8f1d546cba274e0e6711,3.12,uv.lock,0,0,0,0,0,0,0,8.9,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
TheodoreGalanos/aec-bench,fe4db9c6bb07e5d8aa98dd27a67f1807f43c2bee,3.13,uv.lock,0,0,0,0,0,0,0,8.2,python-version,py from .python-version; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
drussell23/JARVIS,7bcb3ded5161d9c87128c083647cc0d466f86617,3.11,pinned-requirements,0,0,0,0,0,0,0,25.5,no-lock,py from .python-version; install rc=40: requirements file is not fully pinned
Extelligence-ai/bagel,335cc110869b24e035f8826edede021390d0231b,3.12,uv.lock,1,0,569,0,0,0,0,36.3,collection-error,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; pytest-timeout absent; installing it into the venv; collect rc=2: pytest --collect-only did not succeed
sdebruyn/fabric-dw-mcp-cli,d5d15249f4b6e4bc9a8fb78274c215b53e720073,3.14,uv.lock,1,1,6098,1,6098,0,0,90.7,,py from .python-version; pytest-timeout absent; installing it into the venv
cdeust/Cortex,2f0dfa1785df8e26cc881cd541988b5880558608,3.12,uv.lock,1,0,0,0,0,0,0,64.2,env-var/secret required,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; pytest-timeout absent; installing it into the venv; collect rc=4: Missing required
KR8MER/eas-station,617dd78683104bc7130e53eb9b9b5e3df2396940,3.12,pinned-requirements,0,0,0,0,0,0,0,13.9,no-lock,py from default; install rc=40: requirements file is not fully pinned
VGonPa/xbrain,47fee793619869c2a8339ca57093b326b911217f,3.12,uv.lock,1,1,1584,1,1583,0,0,59.3,,py from requires-python; pytest-timeout absent; installing it into the venv
PriorLabs/tabpfn-extensions,766e5ac7472ea24bd695b73ca0c6ddc415d18bdd,3.12,uv.lock,1,1,129,1,10,1,0,222.2,tests-failed-at-base,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; pytest-timeout absent; installing it into the venv
microsoft/PyRIT,0b122fa982e73abf13bbe19a8604d921393a80bd,3.12,uv.lock,0,0,0,0,0,0,0,30.2,python-version,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; --all-groups failed or timed out; retrying the default sync; install rc=30: requires-python
joyfulhouse/pylxpweb,ccdaa918d19e85b86955e53f5ce54ea7f133c80e,3.12,uv.lock,1,1,2874,1,2870,0,0,127.2,,py from .python-version
BenchBox-dev/BenchBox,a536dfad7a32278094d4f0239b6823ac5aa00120,3.12,uv.lock,1,1,27398,0,430,2,0,657.6,other,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; run rc=3: test run reached no verdict
quodeq/quodeq,cfcf1d68cc081836dc93efc299731531730f2248,3.12,uv.lock,1,1,5768,1,2523,1,0,174.2,tests-failed-at-base,py from requires-python
orq-ai/evaluatorq,803a6b8ab9c1268049446697f99a27f132739f0c,3.13,uv.lock,1,1,5182,1,779,1,0,105.5,tests-failed-at-base,py from .python-version
meridianlabs-ai/inspect_flow,3169439eb3e2b81a49159d757a481b59f7d61ce3,3.12,uv.lock,1,1,789,1,17,1,0,123.4,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
timcsy/ai-api,21048c4e30e6001e85b494bff106c88e0e5643a3,3.12,uv.lock,1,1,846,1,470,0,1,134.5,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
jannikmi/timezonefinder,82703f26b2ee5d44741397d5e9c6d66623a0585a,3.12,uv.lock,1,0,0,0,0,0,0,19.5,collection-error,py from requires-python; pytest-timeout absent; installing it into the venv; collect rc=4: pytest --collect-only did not succeed
FalkorDB/code-graph,252b126f1259a20bc0bc70985ddc7bcaebb264b3,3.12,uv.lock,1,1,187,1,25,0,1,47.7,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
jmschrei/tangermeme,8d732b8c08764057b7ae5faa644d48664f36b44b,3.12,uv.lock,1,1,1036,1,659,0,0,380.5,,py from requires-python; pytest-timeout absent; installing it into the venv
memtomem/memtomem,50238da931f08ad650a11471d2fdb7329d163e42,3.12,uv.lock,1,1,12608,1,3207,1,0,134.6,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
Synthefy/synthefy-nori,00def6080469766e4e970cff0945718cdaa93776,3.12,uv.lock,1,1,414,1,42,1,0,46.7,tests-failed-at-base,py from requires-python; --all-extras --all-groups failed or timed out; retrying --all-groups; pytest absent after lockfile install; installing pytest; pytest-timeout absent; installing it into the venv
manaakiwhenua/rhealpixdggs-py,1043b89800cfe89fd69a9f1365d0f0cba0071a70,3.12,poetry.lock,1,1,123,1,123,0,0,24.8,,py from requires-python; pytest-timeout absent; installing it into the venv
NaanyaBiz/haggle,5bc6d9568a19f5274ad2f1c6332c53fea649a038,3.14,uv.lock,1,1,268,1,268,0,0,35.1,,py from requires-python
BerriAI/litellm,e06adb558817a53fa03f2ff78df3e7a33e3fcb35,3.12,uv.lock,1,0,1989,0,0,0,0,207.1,network-at-test-time,py from requires-python; collect rc=2: Max retries exceeded
pytest-dev/pytest,d6f66d42df86624ed128b84ce57df3d173fe1b95,3.12,uv.lock,1,1,4454,1,1254,0,1,19.0,tests-failed-at-base,py from requires-python; pytest-timeout absent; installing it into the venv
plastic-labs/honcho,2dbc25093d1464b11ecc385f3eb32cc28c0f4726,3.11,uv.lock,1,0,0,0,0,0,0,24.9,network-at-test-time,py from .python-version; pytest-timeout absent; installing it into the venv; collect rc=4: Temporary failure in name resolution
kayl-codes/homeassistant-truenas,364702800f612ac5c89e029baef3c44b2116004a,3.12,Pipfile.lock,1,0,106,0,0,0,0,63.5,env-var/secret required,py from default; pytest absent after lockfile install; installing pytest; pytest-timeout absent; installing it into the venv; collect rc=2: API_KEY
